"st.code","cnty.code","all.poverty","poverty.lwr.bound","med.inc","med.inc.lwr","med.inc.uppr"
"13","227",365,1248,2115,2053,2200
"13","229",354,1207,940,893,1018
"13","231",240,791,2055,1971,2143
"13","233",835,2330,765,733,807
"13","235",245,747,490,586,421
"13","237",396,1335,1161,1035,1282
"13","239",68,2034,84,75,97
"13","241",328,1206,725,666,783
"13","243",249,848,27,20,34
"13","245",4956,1770,481,629,375
"13","247",1498,283,1838,1888,1802
"13","249",103,2585,829,774,929
"13","251",358,1237,307,328,296
"13","253",225,642,648,691,615
"13","255",1720,453,437,437,445
"13","257",518,1693,560,522,602
"13","259",166,290,52,43,60
"13","261",999,2635,308,324,301
"13","263",151,187,263,249,279
"13","265",54,1747,68,61,76
"13","267",583,1828,306,290,331
"13","269",211,576,229,210,242
"13","271",427,1407,77,77,83
"13","273",263,838,353,373,349
"13","275",1082,2703,577,567,577
"13","277",1117,2748,500,506,510
"13","279",658,2015,305,275,341
"13","281",181,418,815,783,885
"13","283",175,327,210,196,227
"13","285",1309,108,1022,1068,999
"13","287",247,785,189,172,207
"13","289",230,743,562,485,643
"13","291",326,1069,956,870,1094
"13","293",666,2114,372,441,332
"13","295",1334,156,789,777,808
"13","297",1349,157,2223,2308,2150
"13","299",959,2561,324,333,338
"13","301",157,254,160,136,186
"13","303",573,1910,491,453,522
"13","305",703,2118,1012,996,1060
"13","307",60,1860,296,255,347
"13","309",210,531,103,89,119
"13","311",460,1554,1162,1139,1172
"13","313",2124,720,1347,1249,1433
"13","315",211,545,220,214,233
"13","317",261,902,176,177,188
"13","319",213,600,346,384,327
"13","321",469,1597,923,920,945
"15","001",3459,1291,2201,2360,2062
"15","003",9399,2626,2943,2978,2942
"15","005",NA,1,1,1,1
"15","007",857,2379,2639,2627,2690
"15","009",2110,659,2820,2847,2819
"16","001",4808,1751,2601,2679,2537
"16","003",56,1733,971,947,1026
"16","005",1411,218,1411,1498,1333
"16","007",79,2227,1552,1449,1635
"16","009",141,117,1626,1633,1634
"16","011",672,2052,1741,1790,1706
"16","013",226,692,2801,2721,2864
"16","015",105,2594,2092,1932,2269
"16","017",668,2056,1510,1562,1466
"16","019",1664,399,2157,2168,2175
"16","021",181,393,1215,1129,1320
"16","023",38,1265,1240,1105,1387
"16","025",13,50,1964,1793,2160
"16","027",3595,1364,1323,1462,1178
"16","029",77,2205,2498,2368,2601
"16","031",361,1264,1495,1380,1603
"16","033",15,186,1601,1430,1755
"16","035",130,41,1041,975,1120
"16","037",64,1982,1214,1099,1348
"16","039",365,1255,1492,1471,1526
"16","041",139,107,2064,1920,2229
"16","043",187,397,1561,1622,1496
"16","045",264,856,1106,1005,1192
"16","047",256,841,1444,1316,1572
"16","049",256,826,825,824,874
"16","051",309,1048,2256,2299,2225
"16","053",354,1217,1657,1587,1723
"16","055",1876,519,1912,2001,1847
"16","057",700,2209,1320,1204,1410
"16","059",139,113,667,624,718
"16","061",52,1634,862,900,876
"16","063",74,2123,1378,1315,1439
"16","065",1005,2633,485,480,494
"16","067",340,1196,1636,1546,1725
"16","069",568,1901,1622,1604,1640
"16","071",57,1809,1656,1497,1805
"16","073",264,956,733,657,798
"16","075",321,1069,1554,1481,1610
"16","077",118,2666,1814,1704,1929
"16","079",231,693,528,517,541
"16","081",119,2712,2589,2493,2701
"16","083",1155,2726,1405,1423,1388
"16","085",114,2663,1946,1782,2128
"16","087",175,361,472,426,521
"17","001",918,2474,1608,1756,1464
"17","003",249,849,124,104,142
"17","005",246,811,1997,1862,2151
"17","007",544,1768,2635,2590,2712
"17","009",66,1945,2035,1895,2189
"17","011",436,1545,2226,2265,2201
"17","013",58,1835,1973,1850,2126
"17","015",182,409,2082,2047,2149
"17","017",170,314,1630,1555,1707
"17","019",4321,1658,1803,1874,1748
"17","021",463,1584,1692,1661,1732
"17","023",221,662,2071,2009,2161
"17","025",181,378,1574,1543,1591
"17","027",355,1263,2706,2746,2703
"17","029",1122,2745,1043,989,1114
"17","031",88300,2616,2455,2625,2230
"17","033",272,927,1592,1585,1587
"17","035",129,43,1963,1830,2118
"17","037",1445,256,2541,2599,2496
"17","039",173,330,2463,2428,2515
"17","041",195,484,2266,2190,2346
"17","043",7289,2300,2996,3015,3005
"17","045",263,868,1551,1477,1605
"17","047",75,2169,1697,1599,1782
"17","049",398,1391,2269,2254,2288
"17","051",349,1230,1036,1080,1027
"17","053",160,292,2093,2038,2185
"17","055",768,2275,659,740,582
"17","057",545,1841,1426,1509,1350
"17","059",91,2395,1006,896,1150
"17","061",211,589,840,844,890
"17","063",426,1512,2899,2881,2950
"17","065",114,2685,1988,1952,2056
"17","067",212,574,1885,1789,2005
"17","069",84,2329,610,553,669
"17","071",80,2226,2106,1991,2239
"17","073",550,1826,2109,2096,2157
"17","075",448,1618,1698,1719,1675
"17","077",1694,461,336,347,337
"17","079",104,2547,2310,2257,2345
"17","081",704,2202,1266,1301,1234
"17","083",250,787,2263,2095,2395
"17","085",235,730,2141,2165,2141
"17","087",175,370,1581,1469,1681
"17","089",5578,1952,2925,2947,2932
"17","091",1566,302,2532,2588,2489
"17","093",647,2009,3037,3040,3066
"17","095",928,2545,779,872,711
"17","097",6499,2143,2986,2999,2996
"17","099",1468,230,2131,2150,2140
"17","101",252,793,1109,1038,1187
"17","103",347,1188,2417,2476,2375
"17","105",411,1423,2373,2403,2369
"17","107",317,1061,2404,2378,2448
"17","109",654,2105,1210,1163,1279
"17","111",2090,597,2978,2989,2989
"17","113",2332,880,2704,2711,2726
"17","115",1700,404,1777,1846,1710
"17","117",586,1886,1865,1922,1823
"17","119",3443,1331,2408,2486,2352
"17","121",700,2160,1409,1429,1402
"17","123",125,24,2358,2229,2476
"17","125",201,565,1694,1619,1770
"17","127",302,1106,948,883,1056
"17","129",124,2771,2734,2661,2813
"17","131",151,229,2446,2444,2475
"17","133",171,332,2938,2925,2986
"17","135",457,1575,1523,1431,1608
"17","137",483,1619,1647,1589,1698
"17","139",170,371,2292,2239,2342
"17","141",585,1926,2566,2553,2595
"17","143",3040,1152,2259,2390,2124
"17","145",320,1107,1146,1060,1236
"17","147",120,2719,2837,2798,2899
"17","149",233,711,782,837,741
"17","151",79,2205,966,864,1110
"17","153",133,59,298,262,346
"17","155",51,1663,2770,2695,2824
"17","157",394,1366,1795,1721,1876
"17","159",228,661,1313,1246,1353
"17","161",2301,828,1812,1949,1697
"17","163",4969,1803,2026,2106,1983
"17","165",498,1702,713,744,702
"17","167",2989,1159,2474,2547,2414
"17","169",95,2467,1720,1591,1831
"17","171",61,1919,2175,1994,2343
"17","173",253,797,1905,1847,1992
"17","175",67,2057,2034,1867,2210
"17","177",641,1989,1868,1887,1866
"17","179",1211,23,2705,2757,2677
"17","181",307,1074,989,932,1089
"17","183",1455,239,1147,1226,1057
"17","185",169,328,1949,1880,2034
"17","187",226,643,1397,1372,1420
"17","189",144,196,2432,2355,2505
"17","191",245,777,1687,1801,1594
"17","193",196,471,1702,1628,1773
"17","195",677,2079,1999,2111,1923
"17","197",5472,1900,2956,2980,2970
"17","199",1027,2611,1633,1612,1658
"17","201",4786,1745,1787,1918,1650
"17","203",241,758,2900,2882,2949
"18","001",527,1739,2029,2119,1975
"18","003",5459,1946,1876,2084,1690
"18","005",933,2535,2385,2432,2372
"18","007",110,2681,1619,1502,1733
"18","009",182,381,827,836,860
"18","011",440,1498,2875,2867,2915
"18","013",190,445,2270,2152,2375
"18","015",213,617,2468,2497,2468
"18","017",517,1728,1425,1384,1471
"18","019",1194,2739,2221,2341,2111
"18","021",379,1333,1417,1297,1529
"18","023",399,1338,2004,1966,2067
"18","025",189,427,955,979,947
"18","027",443,1471,1785,1786,1778
"18","029",568,1907,2653,2617,2729
"18","031",340,1179,2038,1947,2148
"18","033",422,1435,2203,2335,2095
"18","035",2398,891,814,921,753
"18","037",331,1129,2328,2340,2323
"18","039",2746,1037,2033,2191,1904
"18","041",376,1327,890,859,950
"18","043",864,2413,2326,2401,2249
"18","045",239,796,1505,1416,1595
"18","047",252,818,2382,2309,2467
"18","049",263,845,1459,1527,1408
"18","051",387,1348,1650,1588,1715
"18","053",1268,93,905,994,849
"18","055",498,1679,1009,1021,1028
"18","057",1481,251,3035,3043,3059
"18","059",490,1632,2874,2886,2897
"18","061",385,1278,2553,2562,2556
"18","063",963,2503,2904,2889,2951
"18","065",701,2135,1140,1164,1095
"18","067",1365,174,1764,1743,1759
"18","069",376,1296,1992,2059,1955
"18","071",637,2066,1844,1796,1920
"18","073",334,1157,2462,2434,2507
"18","075",415,1505,755,812,696
"18","077",491,1677,1600,1618,1584
"18","079",481,1672,1351,1273,1414
"18","081",1471,242,2637,2623,2691
"18","083",614,1939,1383,1388,1379
"18","085",923,2510,2381,2490,2297
"18","087",414,1410,2215,2261,2178
"18","089",8523,2512,2087,2318,1878
"18","091",1867,534,1624,1721,1540
"18","093",562,1766,1517,1541,1491
"18","095",2056,681,1456,1625,1311
"18","097",19480,703,1212,1508,933
"18","099",504,1649,2264,2258,2267
"18","101",135,67,1847,1691,2014
"18","103",554,1852,1007,1082,960
"18","105",3081,1225,1357,1457,1277
"18","107",454,1519,1707,1614,1787
"18","109",791,2288,2442,2433,2473
"18","111",160,264,2142,2113,2198
"18","113",515,1640,2104,2038,2205
"18","115",65,1992,2152,1981,2316
"18","117",346,1221,828,792,906
"18","119",318,1120,1603,1560,1633
"18","121",271,906,1150,1037,1260
"18","123",275,975,1440,1417,1482
"18","125",139,76,1734,1594,1863
"18","127",1636,352,2796,2789,2801
"18","129",270,932,2686,2626,2765
"18","131",180,402,1350,1281,1406
"18","133",434,1454,1953,1925,2012
"18","135",400,1388,1087,1061,1117
"18","137",298,1002,2262,2202,2324
"18","139",238,781,1761,1578,1915
"18","141",4422,1645,1644,1808,1489
"18","143",410,1418,1100,1044,1156
"18","145",514,1691,2440,2471,2434
"18","147",190,455,2416,2316,2503
"18","149",355,1227,1348,1404,1305
"18","151",420,1446,2017,2066,1998
"18","153",315,1109,1367,1264,1462
